seed,beta,buffer_frac,ruined,ruin_epoch,basket_pnl,otc_pnl,net_pnl,min_basket,max_basket
152,1.0,0.05,1.0,2,-4.75,0.7104635114421232,-4.039536488557877,2.6643372800987373,3.5
153,1.0,0.05,1.0,5,-4.75,5.127308324426294,0.37730832442629403,2.8950142094234255,3.562789231946865
154,1.0,0.05,0.0,0,-1.4858024926728444,1.4858024926728453,8.881784197001252e-16,3.228502280951337,3.657907953058451
155,1.0,0.05,1.0,2,-4.75,8.416598258721496,3.6665982587214963,2.1339201248549595,3.5
156,1.0,0.05,0.0,0,12.479440794141851,-12.47944079414185,1.7763568394002505e-15,3.219348417030662,4.747944079414185
157,1.0,0.05,0.0,0,25.02359349985005,-25.023593499850048,3.552713678800501e-15,3.472084576163001,6.002359349985005
158,1.0,0.05,0.0,0,9.692516401918425,-9.692516401918425,0.0,3.5,4.4692516401918425
159,1.0,0.05,0.0,0,0.9878914816170195,-0.9878914816170203,-8.881784197001252e-16,3.5,4.053761812947639
160,1.0,0.05,0.0,0,12.972894209169503,-12.972894209169503,0.0,3.5,4.79728942091695
161,1.0,0.05,0.0,0,16.877272059712112,-16.877272059712112,0.0,3.5,5.187727205971211
162,1.0,0.05,1.0,2,-4.75,2.795038567781245,-1.954961432218755,2.954968722357992,3.5
163,1.0,0.05,1.0,1,-4.75,5.1500542496898705,0.40005424968987047,2.85737005438046,3.5
164,1.0,0.05,1.0,3,-4.75,7.865272364355951,3.115272364355951,2.6515925703538716,3.6935341697975344
165,1.0,0.05,0.0,0,16.038088258423713,-16.038088258423713,0.0,3.2365125185778436,5.103808825842371
166,1.0,0.05,0.0,0,-6.317196312972605,6.317196312972606,8.881784197001252e-16,2.8682803687027394,3.8383993699682413
167,1.0,0.05,0.0,0,13.818974430400125,-13.81897443040013,-5.329070518200751e-15,3.5,5.525219787132793
168,1.0,0.05,1.0,4,-4.75,9.364804652448635,4.614804652448635,2.5635195347551365,3.5
169,1.0,0.05,0.0,0,-0.7137282288738991,0.7137282288739,8.881784197001252e-16,3.3261020221649393,3.825666479314005
170,1.0,0.05,0.0,0,-2.7639665572796126,2.7639665572796135,8.881784197001252e-16,3.2236033442720387,3.7693630498883532
171,1.0,0.05,0.0,0,9.742627152157084,-9.742627152157084,0.0,3.5,4.832672789827349
172,1.0,0.05,0.0,0,1.8401504724513185,-1.8401504724513185,0.0,3.05877476852531,3.684015047245132
173,1.0,0.05,0.0,0,-5.045805927953166,5.045805927953166,0.0,2.9954194072046834,3.5545441802053026
174,1.0,0.05,1.0,2,-4.75,-0.6775937671758747,-5.427593767175875,2.9168582904331424,3.725867049040653
175,1.0,0.05,0.0,0,4.314107072465887,-4.314107072465889,-1.7763568394002505e-15,3.5,4.374779988552053
