seed,liquidity,spot,hedged_qty,unhedged_rev,hedged_rev
36,2.0,2.837044860895655,100.0,283.7044860895655,346.8182344504855
37,2.0,4.0259582960002955,100.0,402.59582960002956,346.8182344504727
38,2.0,2.1017345258429305,100.0,210.17345258429305,346.8182344504912
39,2.0,2.9825032613817397,100.0,298.250326138174,346.81823445048445
40,2.0,2.5670643467850125,100.0,256.70643467850124,346.81823445048605
41,2.0,6.006024017647005,100.0,600.6024017647005,346.81823445047576
42,2.0,3.1354194735378487,100.0,313.54194735378485,346.81823445049747
43,2.0,4.449372026124917,100.0,444.93720261249166,346.8182344504754
44,2.0,3.8296099929682357,100.0,382.96099929682356,346.8182344504949
45,2.0,5.4344752647896755,100.0,543.4475264789676,346.8182344504917
46,2.0,2.837044860895655,100.0,283.7044860895655,346.8182344504855
47,2.0,4.025958296000295,100.0,402.59582960002945,346.8182344504726
48,2.0,3.465174418122088,100.0,346.5174418122088,346.81823445047945
49,2.0,4.917316566972579,100.0,491.73165669725785,346.81823445048866
50,2.0,2.5670643467850125,100.0,256.70643467850124,346.81823445048605
51,2.0,3.642837709673359,100.0,364.2837709673359,346.8182344504922
52,2.0,3.1354194735378487,100.0,313.54194735378485,346.81823445049747
53,2.0,4.449372026124917,100.0,444.93720261249166,346.8182344504754
54,2.0,3.8296099929682366,100.0,382.9609992968237,346.818234450495
55,2.0,3.2961758675448705,100.0,329.61758675448704,346.8182344504957
56,2.0,4.677496208089153,100.0,467.74962080891527,346.8182344504905
57,2.0,4.025958296000295,100.0,402.59582960002945,346.8182344504726
58,2.0,3.465174418122088,100.0,346.5174418122088,346.81823445047945
59,2.0,2.9825032613817397,100.0,298.250326138174,346.81823445048445
60,2.0,2.5670643467850125,100.0,256.70643467850124,346.81823445048605
61,2.0,2.209492759274241,100.0,220.94927592742408,346.8182344504845
62,2.0,3.1354194735378487,100.0,313.54194735378485,346.81823445049747
63,2.0,1.6368324945346824,100.0,163.68324945346825,346.81823445048207
64,2.0,2.322775875477118,100.0,232.2775875477118,346.81823445049207
65,2.0,3.2961758675448705,100.0,329.61758675448704,346.8182344504957
66,2.0,4.677496208089153,100.0,467.74962080891527,346.8182344504905
67,2.0,2.4418671412486086,100.0,244.18671412486086,346.81823445049895
68,2.0,3.465174418122088,100.0,346.5174418122088,346.81823445047945
69,2.0,2.9825032613817397,100.0,298.250326138174,346.81823445048445
70,2.0,4.23237359180038,100.0,423.237359180038,346.8182344504996
71,2.0,2.209492759274241,100.0,220.94927592742408,346.8182344504845
72,2.0,3.1354194735378487,100.0,313.54194735378485,346.81823445049747
73,2.0,2.6986805503124818,100.0,269.86805503124816,346.8182344504956
74,2.0,3.8296099929682366,100.0,382.9609992968237,346.818234450495
75,2.0,1.999231723470852,100.0,199.9231723470852,346.81823445048707
76,2.0,2.837044860895655,100.0,283.7044860895655,346.8182344504855
77,2.0,4.025958296000295,100.0,402.59582960002945,346.8182344504726
78,2.0,5.713106769843826,100.0,571.3106769843826,346.81823445048485
79,2.0,2.9825032613817397,100.0,298.250326138174,346.81823445048445
80,2.0,4.23237359180038,100.0,423.237359180038,346.8182344504996
81,2.0,3.642837709673359,100.0,364.2837709673359,346.8182344504922
82,2.0,5.1694327785892495,100.0,516.943277858925,346.81823445048906
83,2.0,2.6986805503124818,100.0,269.86805503124816,346.8182344504956
84,2.0,3.8296099929682357,100.0,382.96099929682356,346.8182344504949
85,2.0,1.999231723470852,100.0,199.9231723470852,346.81823445048707
