seed,beta,r_i,dealer_pnl,spot_I,spot_S,n_contracts,n_settled
81,0.45,0.2025,-12.268910087062977,3.642837709673359,4.844902718183128,2,2
82,0.45,0.2025,-20.797379035735503,5.1694327785892495,6.384717394050694,2,2
83,0.45,0.2025,-3.0352749758167192,2.6986805503124818,3.496668485353017,2,2
84,0.45,0.2025,1.7631563891191036,3.8296099929682357,3.5257435980378595,2,2
85,0.45,0.2025,-10.280191961093806,1.999231723470852,3.9064082117892824,2,2
86,0.45,0.2025,-14.933956705615856,4.677496208089153,5.577003704319667,2,2
87,0.45,0.2025,-6.009656480397098,2.4418671412486086,3.6785406017280033,2,2
88,0.45,0.2025,8.705683729611337,2.1017345258429305,2.053946903799228,2,2
89,0.45,0.2025,1.7304252970498055,2.9825032613817397,3.1478186780363555,2,2
90,0.45,0.2025,-5.2970384248765185,4.23237359180038,4.413006698915805,2,2
91,0.45,0.2025,-7.317246195743792,3.642837709673359,4.349736329049514,2,2
92,0.45,0.2025,8.06926405406557,3.1354194735378487,2.5827470978137557,2,2
93,0.45,0.2025,8.442489410634153,2.6986805503124818,2.3488920467002563,2,2
94,0.45,0.2025,7.254277851083316,3.8296099929682366,2.976631451846354,2,2
95,0.45,0.2025,1.2394647251348943,3.2961758675448705,3.338067408006455,2,2
96,0.45,0.2025,8.7821269412525,2.837044860895655,2.37719223340509,2,2
97,0.45,0.2025,5.489635702222586,2.4418671412486086,2.528611383459857,2,2
98,0.45,0.2025,-4.448312675580382,3.465174418122088,3.9828944958357435,2,2
99,0.45,0.2025,5.064439440262504,2.9825032613817397,2.814417263715942,2,2
0,0.63,0.39690000000000003,-10.703076493227854,2.5670643467850125,4.018707012968515,2,2
1,0.63,0.39690000000000003,-4.522443233290687,3.642837709673359,4.078380905598775,2,2
2,0.63,0.39690000000000003,-0.4888661284931004,3.1354194735378487,3.3553497063544944,2,2
3,0.63,0.39690000000000003,-4.654575865250081,4.449372026124917,4.599710788148776,2,2
4,0.63,0.39690000000000003,0.585500167333521,2.322775875477118,2.735947609990904,2,2
5,0.63,0.39690000000000003,5.9710456932662055,5.4344752647896755,4.157763672657492,2,2
6,0.63,0.39690000000000003,7.918460684013553,4.677496208089153,3.4861253678580355,2,2
7,0.63,0.39690000000000003,5.62418426934164,6.637683077567331,4.950470737108666,2,2
