seed,beta,r_i,dealer_pnl,spot_I,spot_S,n_contracts,n_settled
69,0.2,0.04000000000000001,1.4131820626789704,2.9825032613817397,3.3333420680115764,2,2
70,0.2,0.04000000000000001,6.3034400176256895,4.23237359180038,3.0942903385917573,2,2
71,0.2,0.04000000000000001,-1.3920191118959337,2.209492759274241,3.4592600850497743,2,2
72,0.2,0.04000000000000001,7.110045709414408,3.1354194735378487,2.7942389457654127,2,2
73,0.2,0.04000000000000001,-21.41362145182211,2.6986805503124818,5.559257877244001,2,2
74,0.2,0.04000000000000001,12.46617264917586,3.8296099929682366,2.3974643556710693,2,2
75,0.2,0.04000000000000001,-12.912585584446788,1.999231723470852,4.56926452512972,2,2
76,0.2,0.04000000000000001,5.37865995336324,2.837044860895655,2.907702598841869,2,2
77,0.2,0.04000000000000001,12.123271999997087,4.025958296000295,2.471024081199011,2,2
78,0.2,0.04000000000000001,7.358701468445361,5.713106769843826,3.2849108291197924,2,2
79,0.2,0.04000000000000001,15.929504170781001,2.9825032613817397,1.8817098571980693,2,2
80,0.2,0.04000000000000001,3.1153250880306587,4.23237359180038,3.413101831552568,2,2
81,0.2,0.04000000000000001,-13.460966839687899,3.642837709673359,4.95282384789537,2,2
82,0.2,0.04000000000000001,-22.81806839921046,5.1694327785892495,6.193853017630849,2,2
83,0.2,0.04000000000000001,-3.3301846301183105,2.6986805503124818,3.7509141950664326,2,2
84,0.2,0.04000000000000001,1.9344660218339413,3.8296099929682357,3.450635018408171,2,2
85,0.2,0.04000000000000001,-11.279023328912444,1.999231723470852,4.405908299584911,2,2
86,0.2,0.04000000000000001,-16.384951440035366,4.677496208089153,5.452154007613284,2,2
87,0.2,0.04000000000000001,-6.593559332191944,2.4418671412486086,4.025888983467941,2,2
88,0.2,0.04000000000000001,9.5515346651664,2.1017345258429305,2.343353060655775,2,2
89,0.2,0.04000000000000001,1.898554751649499,2.9825032613817397,3.2848047991150495,2,2
90,0.2,0.04000000000000001,-5.8117027576081455,4.23237359180038,4.305804616109544,2,2
91,0.2,0.04000000000000001,-8.02819547127001,3.642837709673359,4.409546711056991,2,2
92,0.2,0.04000000000000001,8.853279963834211,3.1354194735378487,2.619915520325731,2,2
93,0.2,0.04000000000000001,9.262768183485605,2.6986805503124818,2.49161891371089,2,2
94,0.2,0.04000000000000001,7.959109073737636,3.8296099929682366,2.848170713211558,2,2
95,0.2,0.04000000000000001,1.359892072272487,3.2961758675448705,3.4014055882713534,2,2
96,0.2,0.04000000000000001,9.635405158158392,2.837044860895655,2.482028078366757,2,2
97,0.2,0.04000000000000001,6.023012934834696,2.4418671412486086,2.764231756771687,2,2
98,0.2,0.04000000000000001,-4.880514160962775,3.465174418122088,4.059245921707462,2,2
99,0.2,0.04000000000000001,5.556504276581109,2.9825032613817397,2.919009846620839,2,2
0,0.45,0.2025,-12.307768273400143,2.5670643467850125,4.364690523521482,2,2
1,0.45,0.2025,-5.2004844944458455,3.642837709673359,4.138060158917111,2,2
2,0.45,0.2025,-0.5621608918299899,3.1354194735378487,3.4458895923961492,2,2
3,0.45,0.2025,-5.352427518926561,4.449372026124917,4.51619490377408,2,2
4,0.45,0.2025,0.6732830870896578,2.322775875477118,2.956655575370055,2,2
5,0.45,0.2025,6.866273149615154,5.4344752647896755,3.7376212943144167,2,2
