seed,beta,reluctance,K,r_i,volume_share,willing_clear_frac,residual_risk,sum_Dk2,clearing_spread_pct,dealer_pnl,spot_I,spot_S0
72,0.2,0.0,1,0.04000000000000001,1.0,1.0,2.429676732571754,6.256495066158382,3.878452805723902,4.730099304260255,3.1354194735378487,2.7942389457654127
73,0.2,0.0,1,0.04000000000000001,0.06900280204063353,0.06900280204063353,1.3961646073928866,2.0658908204458957,18.847974313344572,4.052461962157,2.6986805503124818,5.559257877244001
74,0.2,0.0,1,0.04000000000000001,0.3412233831028861,0.3412233831028861,2.730409226175707,7.90113718649744,14.11496688519771,0.22345559618377475,3.8296099929682366,2.3974643556710693
75,0.2,0.0,1,0.04000000000000001,0.05878426946992312,0.05878426946992312,1.2112554428466793,1.5549112297609904,16.35173342225301,2.343718675340047,1.999231723470852,4.56926452512972
76,0.2,0.0,1,0.04000000000000001,1.0,1.0,2.0092952277822533,4.278796407011175,2.6906068958823086,3.131223009279462,2.837044860895655,2.907702598841869
77,0.2,0.0,1,0.04000000000000001,0.05457003921762638,0.05457003921762638,1.09647768157911,1.2741885827250796,14.80225402372133,1.969606136101759,4.025958296000295,2.471024081199011
78,0.2,0.0,1,0.04000000000000001,1.0,1.0,1.937694226979121,3.9792809942166154,2.4208935552434765,0.409405738043219,5.713106769843826,3.2849108291197924
79,0.2,0.0,1,0.04000000000000001,0.5759678307748938,0.5759678307748938,2.250732180216123,5.3688560237623575,6.598190686377428,6.2238899531758465,2.9825032613817397,1.8817098571980693
80,0.2,0.0,1,0.04000000000000001,1.0,1.0,2.787822052972561,8.236908002389082,5.112997498213012,2.991877164933476,4.23237359180038,3.413101831552568
81,0.2,0.0,1,0.04000000000000001,0.19455319607064178,0.19455319607064178,1.4035180881265175,2.087709873022489,6.997919000340745,2.929894435616026,3.642837709673359,4.95282384789537
82,0.2,0.0,1,0.04000000000000001,1.0,1.0,0.004149792833920925,1.825101196025396e-05,1.2441796694273744e-05,-0.00973954295860234,5.1694327785892495,6.193853017630849
83,0.2,0.0,1,0.04000000000000001,1.0,1.0,0.5189535360953117,0.28542438107519397,0.1928750613732733,-0.043259138507908745,2.6986805503124818,3.7509141950664326
84,0.2,0.0,1,0.04000000000000001,0.7047040956825849,0.7047040956825849,3.351376402069177,11.903660489026446,10.821376848605306,6.2832852060733195,3.8296099929682357,3.450635018408171
85,0.2,0.0,1,0.04000000000000001,0.7047191692625407,0.7047191692625407,3.2934713790222374,11.495871596296706,11.391426424066658,1.5992605726892304,1.999231723470852,4.405908299584911
86,0.2,0.0,1,0.04000000000000001,1.0,1.0,0.7730877830364432,0.6334199496488933,0.42322572051076257,1.6028727030551395,4.677496208089153,5.452154007613284
87,0.2,0.0,1,0.04000000000000001,1.0,1.0,0.12257772705096248,0.015924186119958755,0.011037554333289816,0.0907174802360883,2.4418671412486086,4.025888983467941
88,0.2,0.0,1,0.04000000000000001,1.0,1.0,0.8436460818121525,0.7543184053085068,0.46468317874469905,1.1854345236768449,2.1017345258429305,2.343353060655775
89,0.2,0.0,1,0.04000000000000001,0.9316752009409068,0.9316752009409068,3.474585577935132,12.79499564139704,9.341821047017067,5.357257666009073,2.9825032613817397,3.2848047991150495
90,0.2,0.0,1,0.04000000000000001,1.0,1.0,2.0028632246699436,4.25144633720607,3.0226995500826406,3.204047615458782,4.23237359180038,4.305804616109544
91,0.2,0.0,1,0.04000000000000001,0.9658117261280267,0.9658117261280267,2.754875406473283,8.04336988733906,5.208938654003041,6.071532561662508,3.642837709673359,4.409546711056991
92,0.2,0.0,1,0.04000000000000001,0.17737291169247446,0.17737291169247446,1.4165560821468428,2.1266776315359066,7.504271323863238,-0.28777001004469915,3.1354194735378487,2.619915520325731
93,0.2,0.0,1,0.04000000000000001,1.0,1.0,1.6864939919118695,3.0144196604528024,1.9181200677658645,3.0303405990478214,2.6986805503124818,2.49161891371089
94,0.2,0.0,1,0.04000000000000001,0.6339805942552218,0.6339805942552218,3.554990154877753,13.394019337164977,13.043351827377114,9.231839549523507,3.8296099929682366,2.848170713211558
95,0.2,0.0,1,0.04000000000000001,0.07252879776068834,0.07252879776068834,1.5021598310368185,2.3914780866795597,20.27889101328055,0.9179428672253482,3.2961758675448705,3.4014055882713534
96,0.2,0.0,1,0.04000000000000001,1.0,1.0,1.7819122028508245,3.3651677704857534,2.173882978638984,-0.17995109912367435,2.837044860895655,2.482028078366757
97,0.2,0.0,1,0.04000000000000001,0.880095895236749,0.880095895236749,2.892620917103454,8.867825971204779,6.435736555750144,5.977214592513201,2.4418671412486086,2.764231756771687
98,0.2,0.0,1,0.04000000000000001,1.0,1.0,2.732636583733668,7.914033301553796,4.996087898690248,5.106632307116225,3.465174418122088,4.059245921707462
99,0.2,0.0,1,0.04000000000000001,0.3418570386586702,0.3418570386586702,2.303708352878128,5.624567212820967,10.741301563654572,1.3357460851611174,2.9825032613817397,2.919009846620839
0,0.2,1.0,1,0.04000000000000001,0.07989612587435133,0.1303998908740042,1.5111718434775194,2.4202588849977933,20.40055158116377,-0.958959437735835,2.5670643467850125,4.741932543087228
1,0.2,1.0,1,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.642837709673359,4.177303921218898
2,0.2,1.0,1,0.04000000000000001,0.045918259834792016,0.09883009623608414,0.9375637233291046,0.9316133579617993,12.656943802227412,0.37998110334234436,3.1354194735378487,3.5669216044033103
3,0.2,1.0,1,0.04000000000000001,0.06469654025818013,0.08824658616246274,1.2854536916868755,1.751245323763189,17.35339660783298,0.04906401261086235,4.449372026124917,4.355281377090792
